Bowler,Matches,Wickets,Average,Economy,SR,Big,Performance
DL Chahar,17,11,38.18,8.24,27.82,0.0588,0.0625
DL Vettori,34,28,31.93,6.82,28.07,0.0588,0.0625
DNT Zoysa,3,2,50.0,9.09,33.0,0.0,0.0
DP Nannes,29,28,29.11,7.48,23.36,0.069,0.0741
DP Vijaykumar,9,4,51.25,7.88,39.0,0.0,0.0
DR Smith,46,26,31.73,9.17,20.77,0.0435,0.0455
DS Kulkarni,80,80,26.44,8.23,19.27,0.0875,0.0959
DT Christian,40,34,31.38,8.15,23.12,0.0,0.0
DW Steyn,90,92,25.82,6.9,22.43,0.0889,0.0976
F du Plessis,1,0,16.0,16.0,0.0,0.0,0.0
FH Edwards,6,5,32.0,6.67,28.8,0.0,0.0
FY Fazal,2,0,20.0,10.0,0.0,0.0,0.0
GB Hogg,21,23,25.43,7.6,20.09,0.0952,0.1053
GD McGrath,14,12,30.5,6.78,27.0,0.0714,0.0769
GH Vihari,5,1,39.0,6.5,36.0,0.0,0.0
GJ Maxwell,43,16,38.56,8.81,26.25,0.0,0.0
GR Napier,1,1,28.0,7.0,24.0,0.0,0.0
GS Sandhu,2,1,86.0,10.75,48.0,0.0,0.0
Gagandeep Singh,4,3,47.33,10.14,28.0,0.0,0.0
Gurkeerat Singh,6,5,19.4,7.46,15.6,0.0,0.0
HH Pandya,44,28,34.54,9.39,22.07,0.0455,0.0476
HV Patel,39,41,28.71,8.92,19.32,0.0513,0.0541
Harbhajan Singh,146,134,27.8,7.18,23.24,0.0616,0.0657
Harmeet Singh,27,26,27.42,8.01,20.54,0.0741,0.08
Harmeet Singh (2),1,1,34.0,8.5,24.0,0.0,0.0
I Malhotra,1,0,23.0,23.0,0.0,0.0,0.0
I Sharma,76,58,39.5,8.39,28.24,0.0263,0.027
I Sodhi,6,5,27.8,6.04,27.6,0.0,0.0
IC Pandey,24,18,33.83,7.91,25.67,0.0,0.0
IK Pathan,101,80,33.89,7.86,25.88,0.0396,0.0412
Imran Tahir,38,53,22.68,8.52,15.96,0.2368,0.3103
Iqbal Abdulla,48,40,28.12,7.31,23.1,0.0833,0.0909
J Archer,10,15,23.27,8.72,16.0,0.2,0.25
J Botha,34,25,32.72,7.05,27.84,0.0294,0.0303
J Dala,1,0,35.0,11.67,0.0,0.0,0.0
J Searles,3,2,46.0,13.14,21.0,0.0,0.0
J Suchith,13,10,36.9,9.0,24.6,0.0,0.0
J Syed Mohammad,11,8,35.75,8.94,24.0,0.0,0.0
J Theron,10,11,28.27,8.41,20.18,0.1,0.1111
