Bowler,Matches,Wickets,Runs,Overs,Average,Economy,SR,BBI,3WI,Fours,Sixes
VS Yeligati,2,0,61,5,61.0,12.2,0.0,0/16,0,7,2
VY Mahesh,17,21,511,58,24.33,8.81,16.57,4/36,2,47,20
WA Mota,7,4,98,12,24.5,8.17,18.0,1/7,0,4,5
WD Parnell,26,26,731,97,28.12,7.54,22.38,3/27,2,80,11
WPUJC Vaas,13,18,364,48,20.22,7.58,16.0,3/21,1,40,13
Washington Sundar,17,12,391,50,32.58,7.82,25.0,3/16,1,26,19
Y Gnaneswara Rao,1,0,7,1,7.0,7.0,0.0,0/7,0,1,0
Y Nagar,8,4,125,11,31.25,11.36,16.5,2/20,0,11,6
Y Venugopal Rao,20,6,338,36,56.33,9.39,36.0,2/23,0,30,13
YA Abdulla,11,15,311,35,20.73,8.89,14.0,4/31,3,32,13
YK Pathan,81,42,1435,192,34.17,7.47,27.43,3/21,3,98,57
YS Chahal,69,82,2002,251,24.41,7.98,18.37,4/25,6,115,97
Yuvraj Singh,73,36,1092,146,30.33,7.48,24.33,4/29,4,59,41
Z Khan,99,102,2860,371,28.04,7.71,21.82,4/17,9,312,64
