Bowler,Matches,Wickets,Runs,Overs,Average,Economy,SR,BBI,3WI,Fours,Sixes
D Salunkhe,5,1,80,8,80.0,10.0,48.0,1/22,0,6,3
D Short,2,1,27,3,27.0,9.0,18.0,1/10,0,2,1
D Wiese,14,16,409,47,25.56,8.7,17.62,4/36,1,44,9
D Willey,3,2,98,10,49.0,9.8,30.0,1/26,0,12,3
D du Preez,2,4,56,7,14.0,8.0,10.5,3/32,1,6,1
DAJ Bracewell,1,3,32,4,10.67,8.0,8.0,3/32,1,2,2
DB Ravi Teja,2,1,28,3,28.0,9.33,18.0,1/19,0,1,2
DE Bollinger,27,37,716,97,19.35,7.38,15.73,4/14,4,73,19
DJ Bravo,119,136,3375,395,24.82,8.54,17.43,4/22,10,261,129
DJ Harris,2,0,26,3,26.0,8.67,0.0,0/11,0,2,1
DJ Hooda,18,6,297,36,49.5,8.25,36.0,2/16,0,21,11
DJ Hussey,26,8,485,53,60.62,9.15,39.75,2/2,0,30,25
DJ Muthuswami,6,4,108,14,27.0,7.71,21.0,2/18,0,14,3
DJ Thornely,4,3,40,7,13.33,5.71,14.0,2/7,0,5,0
DJG Sammy,19,11,354,40,32.18,8.85,21.82,4/23,1,33,12
DL Chahar,17,11,420,51,38.18,8.24,27.82,3/15,1,45,12
DL Vettori,34,28,894,131,31.93,6.82,28.07,3/15,2,67,24
DNT Zoysa,3,2,100,11,50.0,9.09,33.0,1/30,0,12,3
DP Nannes,29,28,815,109,29.11,7.48,23.36,3/27,2,89,15
DP Vijaykumar,9,4,205,26,51.25,7.88,39.0,1/18,0,23,5
DR Smith,46,26,825,90,31.73,9.17,20.77,4/8,2,75,33
DS Kulkarni,80,80,2115,257,26.44,8.23,19.27,4/15,7,231,64
DT Christian,40,34,1067,131,31.38,8.15,23.12,2/10,0,89,34
DW Steyn,90,92,2375,344,25.82,6.9,22.43,3/8,8,264,45
F du Plessis,1,0,16,1,16.0,16.0,0.0,0/16,0,0,2
FH Edwards,6,5,160,24,32.0,6.67,28.8,2/27,0,20,2
FY Fazal,2,0,20,2,20.0,10.0,0.0,0/6,0,1,1
GB Hogg,21,23,585,77,25.43,7.6,20.09,4/30,2,40,21
GD McGrath,14,12,366,54,30.5,6.78,27.0,4/29,1,41,10
GH Vihari,5,1,39,6,39.0,6.5,36.0,1/5,0,4,1
GJ Maxwell,43,16,617,70,38.56,8.81,26.25,2/15,0,39,32
GR Napier,1,1,28,4,28.0,7.0,24.0,1/28,0,2,1
GS Sandhu,2,1,86,8,86.0,10.75,48.0,1/37,0,8,2
Gagandeep Singh,4,3,142,14,47.33,10.14,28.0,1/34,0,14,6
Gurkeerat Singh,6,5,97,13,19.4,7.46,15.6,2/15,0,6,3
HH Pandya,44,28,967,103,34.54,9.39,22.07,3/27,2,89,35
HV Patel,39,41,1177,132,28.71,8.92,19.32,3/30,2,111,43
Harbhajan Singh,146,134,3725,519,27.8,7.18,23.24,5/18,9,268,127
Harmeet Singh,27,26,713,89,27.42,8.01,20.54,3/25,2,66,20
Harmeet Singh (2),1,1,34,4,34.0,8.5,24.0,1/34,0,3,2
I Malhotra,1,0,23,1,23.0,23.0,0.0,0/23,0,2,2
I Sharma,76,58,2291,273,39.5,8.39,28.24,5/13,2,258,67
I Sodhi,6,5,139,23,27.8,6.04,27.6,1/16,0,8,2
IC Pandey,24,18,609,77,33.83,7.91,25.67,2/23,0,77,17
IK Pathan,101,80,2711,345,33.89,7.86,25.88,3/25,4,293,82
Imran Tahir,38,53,1202,141,22.68,8.52,15.96,4/29,9,67,62
Iqbal Abdulla,48,40,1125,154,28.12,7.31,23.1,3/25,4,88,37
J Archer,10,15,349,40,23.27,8.72,16.0,3/24,2,31,12
J Botha,34,25,818,116,32.72,7.05,27.84,3/6,1,60,24
J Dala,1,0,35,3,35.0,11.67,0.0,0/35,0,3,2
J Searles,3,2,92,7,46.0,13.14,21.0,1/24,0,4,7
J Suchith,13,10,369,41,36.9,9.0,24.6,2/14,0,28,15
J Syed Mohammad,11,8,286,32,35.75,8.94,24.0,2/16,0,18,12
J Theron,10,11,311,37,28.27,8.41,20.18,4/28,1,28,9
J Yadav,10,4,197,30,49.25,6.57,45.0,1/8,0,16,5
JA Morkel,87,85,2409,288,28.34,8.36,20.33,4/32,5,264,56
JD Ryder,16,8,314,40,39.25,7.85,30.0,2/14,0,21,13
