index,Batsman,Matches,Runs,Average,SR,HardHitter,Finisher,Running
295,S Sreesanth,12,34,8.5,59.65,0.42105263157894735,0.6666666666666666,0.19607843137254902
296,S Tyagi,1,3,3.0,75.0,0.0,1.0,0.75
297,SA Yadav,42,602,21.5,127.27,0.7145877378435518,0.3333333333333333,0.6616541353383458
298,SB Bangar,7,49,8.166666666666666,84.48,0.3793103448275862,0.14285714285714285,0.5
299,SB Jakati,5,28,28.0,93.33,0.4,0.8,0.5925925925925926
300,SB Styris,10,131,18.714285714285715,98.5,0.43609022556390975,0.3,0.6083333333333333
301,SC Ganguly,56,1343,25.339622641509433,101.74,0.6015151515151516,0.05357142857142857,0.4807355516637478
302,SD Chitnis,8,93,13.285714285714285,102.2,0.5054945054945055,0.125,0.5875
303,SE Marsh,69,2465,39.75806451612903,129.46,0.7993697478991597,0.10144927536231885,0.6037131882202305
304,SJ Srivastava,4,5,5.0,100.0,0.0,0.75,1.0
305,SK Raina,172,4983,34.36551724137931,134.57,0.7799081825546854,0.1569767441860465,0.681744223885454
306,SK Trivedi,14,42,6.0,70.0,0.3,0.5,0.42857142857142855
307,SK Warne,27,197,10.944444444444445,90.37,0.42201834862385323,0.3333333333333333,0.5303030303030303
308,SL Malinga,20,88,6.2857142857142865,85.44,0.5242718446601942,0.3,0.3695652173913043
309,SM Harwood,2,8,8.0,61.54,0.0,1.0,0.6153846153846154
310,SM Katich,11,240,24.0,126.32,0.8,0.09090909090909091,0.5641025641025641
311,SMSM Senanayake,3,10,10.0,62.5,0.0,1.0,0.625
312,SN Khan,17,231,21.0,159.31,1.006896551724138,0.35294117647058826,0.7589285714285714
313,SN Thakur,5,22,7.333333333333332,157.14,1.1428571428571428,0.4,0.6
314,SP Fleming,10,192,21.33333333333333,114.29,0.7261904761904762,0.1,0.5035971223021583
315,SP Goswami,19,298,16.555555555555557,99.33,0.5,0.05263157894736842,0.5606060606060606
316,SP Jackson,3,38,19.0,122.58,0.6451612903225806,0.3333333333333333,0.6923076923076923
317,SP Narine,46,644,18.4,164.71,1.3145780051150895,0.2391304347826087,0.4642857142857143
318,SPD Smith,62,1683,38.25,127.6,0.6474601971190296,0.2903225806451613,0.735581188997338
319,SR Tendulkar,78,2331,33.78260869565217,114.43,0.6666666666666666,0.11538461538461539,0.5683411214953271
320,SR Watson,113,3174,32.72164948453608,137.88,0.9270199826238054,0.1415929203539823,0.5630752571737954
321,SS Iyer,45,1227,30.675,126.49,0.7731958762886598,0.1111111111111111,0.5896168108776267
322,SS Tiwary,64,1271,28.244444444444447,115.34,0.5825771324863884,0.296875,0.6524896265560166
323,ST Jayasuriya,30,760,27.142857142857146,133.33,0.9894736842105263,0.06666666666666667,0.4375
324,STR Binny,61,809,18.813953488372096,123.14,0.654490106544901,0.29508196721311475,0.6707964601769911
325,SV Samson,77,1876,26.8,126.16,0.6886348352387357,0.09090909090909091,0.6713947990543735
326,SW Tait,5,23,7.666666666666668,88.46,0.38461538461538464,0.4,0.5416666666666666
327,Sachin Baby,10,136,17.0,130.77,0.7115384615384616,0.2,0.7045454545454546
328,Sandeep Sharma,14,25,8.333333333333334,64.1,0.10256410256410256,0.7857142857142857,0.5526315789473685
329,Shahid Afridi,9,81,10.125,176.09,1.391304347826087,0.1111111111111111,0.5151515151515151
330,Shakib Al Hasan,45,738,21.705882352941174,123.41,0.6622073578595318,0.24444444444444444,0.6719056974459725
331,Shivam Sharma,2,5,5.0,166.67,1.3333333333333333,0.5,0.5
332,Shoaib Ahmed,3,1,0.5,16.67,0.0,0.3333333333333333,0.16666666666666666
333,Shoaib Malik,5,51,12.75,106.25,0.4166666666666667,0.2,0.7209302325581395
334,Sohail Tanvir,5,35,11.666666666666664,116.67,0.6,0.4,0.6538461538461539
335,Sunny Singh,5,43,10.75,138.71,0.967741935483871,0.2,0.5416666666666666
336,T Curran,4,24,8.0,85.71,0.42857142857142855,0.25,0.48
337,T Thushara,4,12,6.0,63.16,0.0,0.5,0.631578947368421
338,TA Boult,2,5,5.0,50.0,0.0,0.5,0.5
