index,Batsman,Matches,Runs,Average,SR,HardHitter,Finisher,Running
147,JJ van der Wath,3,18,9.0,105.88,0.5882352941176471,0.3333333333333333,0.5333333333333333
148,JP Duminy,75,2038,39.96078431372549,121.67,0.5838805970149253,0.32,0.7210884353741497
149,JP Faulkner,45,524,20.96,131.0,0.705,0.4444444444444444,0.7096774193548387
150,JR Hopes,19,417,26.0625,133.23,0.8370607028753994,0.15789473684210525,0.6126482213438735
151,Jaskaran Singh,4,8,8.0,72.73,0.0,0.75,0.7272727272727273
152,Joginder Sharma,5,36,9.0,120.0,0.5333333333333333,0.2,0.7407407407407407
153,K Goel,16,218,15.571428571428573,91.21,0.5104602510460251,0.125,0.4507042253521127
154,K Gowtham,13,129,14.333333333333336,192.54,1.3432835820895523,0.3076923076923077,0.7959183673469388
155,K Upadhyay,2,12,12.0,133.33,0.6666666666666666,1.0,0.75
156,KA Pollard,120,2469,28.056818181818183,139.81,0.8958097395243488,0.26666666666666666,0.612992398064962
157,KB Arun Karthik,8,51,10.2,96.23,0.41509433962264153,0.375,0.6041666666666666
158,KC Cariappa,4,15,5.0,83.33,0.3333333333333333,0.25,0.5294117647058824
159,KC Sangakkara,68,1680,25.84615384615385,118.56,0.6605504587155964,0.04411764705882353,0.6220735785953178
160,KD Karthik,150,3413,26.874015748031496,126.27,0.6873843877173511,0.15333333333333332,0.6814198071866784
161,KH Pandya,32,721,30.04166666666667,151.15,0.9559748427672956,0.25,0.701058201058201
162,KJ Abbott,3,13,13.0,162.5,0.75,0.6666666666666666,1.0
163,KK Cooper,12,115,12.777777777777779,166.67,1.2173913043478262,0.25,0.5961538461538461
164,KK Nair,62,1460,25.17241379310345,126.74,0.7482638888888888,0.06451612903225806,0.6255230125523012
165,KL Rahul,44,1401,38.91666666666666,138.03,0.8354679802955665,0.18181818181818182,0.6654632972322503
166,KM Jadhav,58,906,23.842105263157894,129.61,0.7067238912732475,0.3448275862068966,0.6947723440134908
167,KMDN Kulasekara,1,5,5.0,166.67,1.3333333333333333,1.0,0.5
168,KP Appanna,3,2,2.0,50.0,0.0,0.6666666666666666,0.5
169,KP Pietersen,36,1000,35.714285714285715,132.1,0.797886393659181,0.2222222222222222,0.6325878594249201
170,KS Williamson,32,1157,42.85185185185185,136.92,0.7455621301775148,0.15625,0.7454031117397454
171,KV Sharma,34,317,15.095238095238097,111.23,0.5473684210526316,0.38235294117647056,0.6363636363636364
172,KW Richardson,4,36,12.0,92.31,0.358974358974359,0.25,0.6111111111111112
173,Kamran Akmal,6,124,24.8,161.04,1.2467532467532467,0.16666666666666666,0.49122807017543857
174,Karanveer Singh,4,12,12.0,70.59,0.23529411764705882,0.75,0.5
175,Kuldeep Yadav,5,34,11.333333333333336,72.34,0.2553191489361702,0.4,0.5
176,L Ablish,1,0,,0.0,0.0,1.0,0.0
177,L Balaji,13,36,5.142857142857143,72.0,0.28,0.46153846153846156,0.46808510638297873
178,L Plunkett,2,1,1.0,33.33,0.0,0.5,0.3333333333333333
179,LA Carseldine,5,80,20.0,115.94,0.6376811594202898,0.2,0.6206896551724138
180,LA Pomersbach,16,301,27.363636363636363,121.37,0.717741935483871,0.3125,0.5857142857142857
181,LH Ferguson,1,1,1.0,100.0,0.0,1.0,1.0
182,LMP Simmons,29,1079,39.96296296296296,123.46,0.8009153318077803,0.06896551724137931,0.5256588072122053
183,LPC Silva,3,40,20.0,148.15,0.9629629629629629,0.3333333333333333,0.6666666666666666
184,LR Shukla,33,405,15.0,113.13,0.6368715083798883,0.18181818181818182,0.5728155339805825
185,LRPL Taylor,54,1010,25.25,119.81,0.6334519572953736,0.25925925925925924,0.6502732240437158
186,M Kaif,22,259,14.388888888888891,100.78,0.48249027237354086,0.18181818181818182,0.5895196506550219
187,M Kartik,14,112,16.0,103.7,0.3148148148148148,0.5,0.78
188,M Lomror,2,20,20.0,95.24,0.19047619047619047,0.5,0.8
189,M Manhas,38,514,22.347826086956523,105.76,0.4773662551440329,0.39473684210526316,0.651270207852194
190,M Markande,6,25,12.5,100.0,0.32,0.6666666666666666,0.7391304347826086
191,M Morkel,20,122,12.2,132.61,0.7608695652173914,0.5,0.6753246753246753
192,M Muralitharan,9,20,3.333333333333333,68.97,0.13793103448275862,0.3333333333333333,0.5714285714285714
193,M Ntini,2,11,11.0,57.89,0.42105263157894735,0.5,0.17647058823529413
194,M Rawat,11,55,11.0,78.57,0.3142857142857143,0.5454545454545454,0.5076923076923077
195,M Ur Rahman,2,11,11.0,157.14,1.1428571428571428,0.5,0.6
196,M Vijay,100,2525,26.578947368421048,120.18,0.7082341742027606,0.05,0.584554678692221
197,M Vohra,45,1016,23.627906976744185,127.16,0.7784730913642053,0.044444444444444446,0.5942684766214178
198,MA Agarwal,59,930,16.607142857142858,119.08,0.7580025608194623,0.05084745762711865,0.5184049079754601
199,MA Khote,3,24,12.0,109.09,0.6363636363636364,0.3333333333333333,0.5263157894736842
200,MA Starc,11,96,13.714285714285715,97.96,0.40816326530612246,0.36363636363636365,0.6363636363636364
201,MC Henriques,50,965,28.382352941176467,125.98,0.660574412532637,0.32,0.7029096477794793
202,MD Mishra,17,235,14.6875,111.37,0.6824644549763034,0.058823529411764705,0.5083798882681564
203,MEK Hussey,58,1976,38.74509803921568,120.05,0.6707168894289186,0.1206896551724138,0.6246418338108882
204,MF Maharoof,14,177,17.7,142.74,0.8225806451612904,0.2857142857142857,0.7281553398058253
205,MG Johnson,28,166,12.769230769230768,99.4,0.49101796407185627,0.5357142857142857,0.56
206,MJ Guptill,10,183,20.33333333333333,128.87,0.8591549295774648,0.1,0.5304347826086957
207,MJ McClenaghan,16,77,8.555555555555555,137.5,0.9642857142857143,0.4375,0.5
208,MK Pandey,108,2502,28.431818181818183,116.43,0.596556537924616,0.18518518518518517,0.6548577563070317
209,MK Tiwary,83,1687,28.59322033898305,113.68,0.5768194070080862,0.2891566265060241,0.6441860465116279
210,ML Hayden,32,1096,36.53333333333333,131.89,0.8904933814681107,0.0625,0.5329341317365269
211,MM Patel,12,39,6.5,95.12,0.4878048780487805,0.5,0.5277777777777778
212,MM Sharma,24,124,8.857142857142858,105.08,0.5084745762711864,0.4166666666666667,0.6095238095238096
213,MN Samuels,14,161,12.384615384615385,92.53,0.4482758620689655,0.07142857142857142,0.5253164556962026
214,MN van Wyk,5,163,54.33333333333334,121.64,0.582089552238806,0.4,0.7391304347826086
215,MP Stoinis,15,264,24.0,123.94,0.6009389671361502,0.26666666666666666,0.7351351351351352
216,MR Marsh,14,225,18.75,111.94,0.5970149253731343,0.14285714285714285,0.5898876404494382
217,MS Bisla,39,794,20.894736842105264,108.03,0.6884353741496598,0.02564102564102564,0.4645161290322581
218,MS Dhoni,158,4033,40.33,134.93,0.7413850786216126,0.3670886075949367,0.71875
219,MS Gony,15,99,11.0,132.0,0.96,0.4,0.4426229508196721
220,MV Boucher,23,387,27.642857142857146,122.47,0.6329113924050633,0.391304347826087,0.6875
221,Mandeep Singh,71,1378,21.873015873015877,122.05,0.6891054030115146,0.11267605633802817,0.6322444678609063
222,Mashrafe Mortaza,1,2,2.0,100.0,0.0,1.0,1.0
223,Misbah-ul-Haq,8,117,16.714285714285715,142.68,0.926829268292683,0.125,0.6212121212121212
224,Mohammad Hafeez,8,64,9.142857142857142,76.19,0.47619047619047616,0.125,0.32
225,Mohammed Shami,14,53,6.625,101.92,0.6153846153846154,0.42857142857142855,0.4666666666666667
226,Mohammed Siraj,3,27,13.5,117.39,0.6086956521739131,0.3333333333333333,0.65
