index,Batsman,Matches,Runs,Average,NO,Balls,SR,30s,50s,HS,Sixes,Fours
0,A Ashish Reddy,23,280,35.0,8,193,145.08,2,0,36,15,16
1,A Chandila,2,4,2.0,2,7,57.14,0,0,4,0,0
2,A Choudhary,3,25,12.5,2,20,125.0,0,0,15,1,1
3,A Dananjaya,1,4,4.0,1,5,80.0,0,0,4,0,0
4,A Flintoff,3,62,62.0,1,53,116.98,0,0,24,2,5
5,A Kumble,15,35,2.9166666666666665,12,47,74.47,0,0,8,0,3
6,A Mishra,50,340,14.782608695652174,23,363,93.66,2,0,31,5,27
7,A Mithun,6,34,34.0,1,26,130.77,0,0,11,1,4
8,A Nehra,17,39,3.9,10,60,65.0,0,0,21,1,3
9,A Singh,5,2,2.0,1,9,22.22,0,0,1,0,0
10,A Symonds,36,973,108.11111111111111,9,745,130.6,14,6,117,41,74
11,A Uniyal,2,4,4.0,1,7,57.14,0,0,4,0,0
12,AA Bilakhia,7,69,34.5,2,84,82.14,0,0,22,0,5
13,AA Chavan,3,12,12.0,1,11,109.09,0,0,7,0,2
14,AA Jhunjhunwala,15,217,108.5,2,209,103.83,2,1,53,5,19
15,AB Agarkar,18,177,19.666666666666668,9,151,117.22,1,0,39,5,13
16,AB Barath,3,42,42.0,1,42,100.0,1,0,33,1,5
17,AB Dinda,16,26,4.333333333333333,6,48,54.17,0,0,7,0,2
18,AB McDonald,9,123,30.75,4,100,123.0,2,0,33,4,9
19,AB de Villiers,129,3943,131.43333333333334,30,2616,150.73,51,31,132,185,325
20,AC Gilchrist,80,2046,511.5,4,1483,137.96,26,12,109,92,234
21,AC Thomas,4,20,10.0,2,19,105.26,0,0,12,1,1
22,AC Voges,7,181,60.333333333333336,3,143,126.57,2,0,45,3,15
23,AD Mascarenhas,11,79,39.5,2,78,101.28,0,0,27,1,5
24,AD Mathews,41,722,65.63636363636364,11,573,126.0,8,1,64,29,44
25,AD Russell,39,891,148.5,6,501,177.84,15,4,89,68,65
26,AF Milne,3,7,7.0,1,12,58.33,0,0,5,0,0
27,AG Murtaza,3,10,5.0,2,14,71.43,0,0,5,0,1
28,AJ Finch,73,1739,248.42857142857142,7,1326,131.15,23,13,88,67,176
29,AJ Tye,11,91,30.333333333333332,3,67,135.82,0,0,25,4,7
30,AL Menaria,23,395,197.5,2,354,111.58,5,0,40,17,24
31,AM Nayar,50,664,55.333333333333336,12,573,115.88,6,0,44,20,54
32,AM Rahane,119,3435,229.0,15,2846,120.7,50,27,103,65,360
33,AN Ahmed,6,36,7.2,5,26,138.46,0,0,18,1,4
34,AP Tare,27,339,113.0,3,272,124.63,2,1,59,11,40
35,AR Bawne,1,12,12.0,1,12,100.0,0,0,12,0,1
36,AR Patel,50,690,49.285714285714285,14,542,127.31,7,0,44,32,37
37,AS Rajpoot,5,18,18.0,1,31,58.06,0,0,9,0,2
38,AS Raut,16,194,27.714285714285715,7,167,116.17,2,0,36,7,13
39,AS Yadav,20,566,566.0,1,423,133.81,9,4,73,18,66
40,AT Rayudu,121,3017,150.85,20,2308,130.72,44,18,100,113,258
41,AUK Pathan,7,39,19.5,2,23,169.57,0,0,14,2,5
42,Abdur Razzak,1,0,0.0,1,2,0.0,0,0,0,0,0
43,Ankit Sharma,13,151,30.2,5,100,151.0,2,0,46,9,10
44,Ankit Soni,3,7,7.0,1,9,77.78,0,0,7,1,0
45,Anureet Singh,8,37,9.25,4,47,78.72,0,0,15,1,2
46,Azhar Mahmood,21,388,194.0,2,303,128.05,5,2,80,13,39
47,B Akhil,11,76,15.2,5,55,138.18,0,0,27,5,5
48,B Chipli,21,280,46.666666666666664,6,250,112.0,2,1,61,7,28
